Blog	four	second	here	reported	k	music	until	example	want	travel	feature	how	wrong	series	re	wasn	service	needed	listen	project	person	saying	release	result	best	asked	much	life	worked	things	had	easy	has	possible	right	old	people	support	happy	inside	ddos	time	team	sign	current	understanding	along	love	working	following	so	course	didn	internet	million	quite	massive	one	vote	open	city	future	turned	say	note	take	knew	ways	going	where	many	photos	former	technology	being	around	traffic	world	power	side	image	her	october	am	an	original	tv	th	case	large	small	past	hours	social	via	single	company	learn	sense	its	always	found	really	major	obama	self	also	play	sometimes	set	see	movie	available	last	whole	community	recent	amp	readers	couple	d	continue	be	anything	clinton	into	link	line	posted	up	us	ago	came	having	try	video	let	great	makes	tools	next	process	high	move	presidential	doing	could	put	start	system	haven	face	fact	bring	should	hope	means	stuff	email	co	ve	off	less	web	five	become	does	problem	chance	worth	told	total	work	after	order	then	them	they	network	created	another	do	away	com	information	voice	hand	photo	thanks	board	night	security	comments	post	months	way	true	update	together	change	live	car	write	product	remember	still	non	half	now	domain	year	space	looking	shows	care	directly	friend	than	online	america	only	between	article	comes	learning	these	media	real	read	early	using	business	your	aren	lot	building	since	month	very	learned	family	ask	takes	site	history	tried	help	soon	actually	event	reason	american	clear	pretty	during	x	close	won	probably	both	else	lives	look	while	used	friends	user	game	some	run	step	seeing	within	himself	similar	doesn	e	go	facebook	click	win	started	control	including	him	special	completely	keep	powerful	such	data	attack	final	need	able	anyway	based	years	she	computer	state	key	group	well	lost	page	twitter	home	he	stories	piece	skills	companies	across	likely	even	tips	ever	never	campaign	tell	room	give	amazing	answer	president	before	personal	better	weeks	went	mean	content	reader	isn	features	matter	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	save	deal	popular	down	drive	finally	me	did	useful	visit	making	may	man	maybe	talk	nbsp	interesting	policy	morning	earlier	thing	think	first	long	little	anyone	hillary	were	especially	show	sites	enough	black	get	behind	reading	according	mark	those	different	pay	same	running	money	either	trying	images	videos	youtube	again	important	u	starting	issues	public	search	published	two	particular	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	common	simple	simply	create	understand	itself	spent	source	big	bit	google	often	back	giving	access	others	private	links	account	bunch	ll	instead	day	announced	text	taking	value	almost	thought	add	works	actual	buy	minutes	under	every	enjoy	changes	york	would	phone	my	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	talking	though	watch	report	full	news	conference	been	quickly	experience	several	gave	which	donald	election	everything	hear	no	focus	cool	level	posts	says	goes	today	trump	figure	huge	happened	name	turn	place	any	ideas	sure	later	written	outside	come	myself	someone	check	week	without	when	seems	blog	or	there	longer	wife	all	program	woman	far	list	design	version	known	short	might	wouldn	number	friday	feel	story	store	kind	nothing	part	his	hit	wrote	art	recently	creating	attention	c	reasons	due	know	questions	customers	question	fast	called	nice	users	problems	once	apple	app	use	few	women	something	looks	related	our	out	latest	conversation	their	who	why	please	debate	thousands	ones	words	view	will	perhaps	gets	difficult	point	other	because	getting	own	apps	made	whether	below	book
mezzoblue	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	5	1	0	3	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	1	0	0	1	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Eschaton	0	0	1	0	0	1	0	0	0	0	1	3	1	0	7	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	6	1	2	0	0	7	0	1	0	0	0	0	0	0	6	0	1	0	0	3	0	2	4	0	0	0	0	0	0	0	2	1	1	2	0	0	0	2	1	0	3	0	0	0	0	1	5	1	2	0	0	0	2	0	1	0	0	3	0	0	0	0	1	0	3	0	4	0	0	0	5	0	0	0	1	1	0	2	0	0	0	0	0	0	3	0	9	2	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	3	2	0	0	0	0	1	0	0	0	0	2	2	0	5	2	0	0	0	0	0	0	0	0	0	0	6	4	0	0	2	11	0	0	0	2	1	1	0	0	0	0	0	0	4	3	0	0	0	3	1	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	1	0	0	1	0	0	0	6	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	1	0	0	1	1	1	1	0	0	0	2	1	0	0	2	8	0	0	1	0	0	0	3	0	1	0	0	2	0	1	0	0	1	3	0	0	0	0	0	0	0	2	0	0	2	4	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	9	0	1	2	1	1	0	0	0	0	2	2	0	1	0	0	0	0	0	3	0	0	0	5	5	0	1	0	3	2	0	0	0	4	2	0	4	0	3	0	0	0	4	0	1	0	1	1	0	0	1	0	2	0	0	0	0	0	2	0	1	7	2	2	1	0	2	4	0	1	0	1	0	3	0	0	0	0	2	0	2	1	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	3	0	1	0	0	0	3	1	0	0	0	1	0	0	0	0	2	0	0	0	4	2	0	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	1	2	1	0	1	0	1	0	0	1	0	0	2	2	0	1	0	0	0	2	2	0	0	0	0	3	0	0	1	0	3	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	5	5	0	0	12	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	1	3	0	1	0	0	0	0	0	2	0	1	0	6	0	0	0	0	1	1	0	2	1	0	0	0	1	0	0	0	0	5	3	0	0	0	2	1	0	5	0	0	0	0	6	0	0	0	1	0	7	2	0	0	1	0	0	1
ShoeMoney	0	1	19	0	0	0	2	0	0	1	0	5	1	0	1	0	1	0	0	0	1	1	0	0	3	0	1	5	5	1	7	0	16	0	0	1	9	0	4	0	0	4	3	0	1	0	0	1	1	0	11	3	0	7	2	0	0	6	0	1	0	0	0	3	0	2	2	0	3	0	1	1	2	0	3	1	1	1	0	0	0	0	0	10	8	0	4	2	0	0	1	1	0	0	0	0	4	2	0	2	1	1	4	0	0	0	3	2	0	1	5	0	1	2	0	0	0	0	0	1	0	0	0	2	0	2	2	0	0	1	21	3	0	1	0	0	0	4	0	0	2	0	0	0	0	2	1	2	1	0	0	0	1	0	1	0	1	1	2	6	1	1	0	0	0	0	0	0	0	0	3	0	4	5	0	6	1	12	4	0	2	3	0	4	0	0	0	0	0	2	0	0	0	4	2	0	0	0	6	0	23	0	0	0	0	1	0	2	5	0	1	4	1	0	0	0	3	2	1	0	3	0	0	0	1	0	5	0	2	0	1	4	4	0	6	0	4	0	0	2	1	0	0	0	0	0	0	0	2	3	0	0	0	2	1	0	0	1	1	0	0	0	1	5	2	7	0	1	3	0	0	0	0	0	0	0	0	5	8	2	0	7	1	0	7	3	0	2	0	4	0	0	0	0	1	2	2	11	1	0	0	1	1	7	0	1	0	0	18	0	0	0	2	0	0	3	0	0	1	1	0	0	2	2	2	0	3	0	0	0	0	1	0	0	0	0	1	0	4	1	1	1	1	4	1	0	1	0	5	3	0	3	0	0	0	0	2	0	0	0	0	8	3	0	1	0	0	0	0	1	0	0	0	1	0	0	1	6	1	0	0	0	6	0	38	0	1	0	5	0	1	0	1	0	3	1	2	2	1	0	1	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	2	2	1	2	0	1	0	4	1	0	0	3	0	0	0	0	0	0	0	0	0	0	3	1	4	0	1	1	1	3	0	0	3	2	0	0	3	0	0	1	2	1	3	1	0	0	0	1	0	0	0	0	0	4	0	18	2	0	7	1	2	0	5	1	2	1	1	3	0	2	1	0	0	0	0	1	2	13	0	2	7	0	2	0	0	0	0	2	1	0	0	1	0	0	17	0	0	0	0	1	0	0	1	0	1	0	1	0	12	0	1	1	1	0	9	0	3	2	3	0	0	7	3	0	0	1	0	0	4	1	0	0	0	1	0	0	0	1	0	1	5	0	0	0	2	0	0	2	1	0	4	0	0	0	1	1	1	1	0	3	0	1	0	5	0	3	1	0	4	5	0	0	8	4	2	0	0	1	0	0	0	0	0	0	0	0	6	2	1	0	0	0	0	6	0
Slashdot	0	6	6	3	0	0	3	0	2	0	1	5	0	0	7	0	14	0	0	0	0	0	2	1	0	0	2	0	2	3	3	0	17	2	1	1	5	0	0	2	7	4	2	0	2	0	2	0	0	1	2	0	0	12	5	0	4	11	0	0	3	1	1	2	0	4	0	0	1	1	6	0	1	1	7	3	2	2	1	0	0	0	1	0	19	0	1	0	3	5	0	0	0	2	0	1	14	2	0	23	0	4	0	2	2	0	11	0	1	0	1	0	1	1	0	0	3	0	0	2	0	1	24	0	8	3	0	1	2	4	3	2	0	0	0	5	0	0	1	0	1	1	2	1	2	1	7	1	1	5	0	1	0	0	5	1	3	0	2	3	0	2	4	6	0	1	3	1	0	1	2	0	1	2	2	4	7	17	3	0	4	1	1	1	7	0	0	1	0	0	0	6	0	1	2	1	1	1	0	5	0	0	1	1	0	8	0	0	8	4	1	2	1	0	1	2	1	8	4	0	5	2	0	2	1	8	2	3	15	0	3	1	7	0	2	0	3	1	2	0	1	1	0	3	0	1	0	0	0	1	0	0	2	1	5	0	0	1	2	4	0	0	3	4	4	0	5	0	4	0	0	2	0	2	2	1	0	4	10	0	0	1	0	4	0	0	1	1	0	8	9	15	0	1	0	1	3	3	2	0	5	1	1	1	4	1	3	2	20	0	0	0	4	3	2	7	0	0	0	0	0	1	0	0	0	2	5	1	1	1	0	0	10	6	0	0	1	0	2	0	5	0	0	20	5	0	6	3	9	2	0	4	0	0	0	0	0	1	10	0	0	0	2	0	1	2	11	0	0	1	0	0	4	2	4	0	1	2	0	1	0	1	11	0	1	6	0	0	1	2	1	4	1	2	1	1	1	0	1	0	1	1	0	0	1	2	5	0	0	2	2	1	2	2	0	0	1	5	0	1	1	1	1	0	3	1	1	7	10	1	3	1	2	0	0	0	1	4	3	0	12	3	1	1	3	2	0	0	3	0	0	1	0	0	1	3	2	0	1	0	1	0	0	0	1	2	0	1	4	10	0	0	1	3	2	0	2	1	3	1	0	4	1	1	1	1	0	4	0	6	1	1	0	9	1	1	2	0	20	2	0	1	0	4	0	0	2	3	11	2	6	11	1	1	1	4	1	2	2	0	0	0	0	0	0	0	2	0	4	3	11	1	0	17	5	0	1	10	0	0	1	1	1	1	0	4	2	0	2	4	0	15	1	0	0	4	12	3	0	0	2	0	0	0	3	0	2	1	0	1	0	2	0	3	2	1	7	0	2	3	0	1	0	0	5	5	0	1	11	7	2	0	3	2	0	0	0	8	1	0	1	3	8	4	1	3	1	2	1	0	0
Matt Cutts: Gadgets, Google, and SEO	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	0	2	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	3	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	4	1	0	3	0	0	0	1	0	0	0	0	1	1	0	0	2	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	3	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	2	0	0	5	0	0	0	0	3	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	2	1	3	0	0	0	0	0	0	0	3	0	1	2	0	1	1	0	0	0	2	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	1	0	0	3	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	6	0	1	2	0	1	0	0	0	1	2	0	0	1	1	1	0	1	1	2	1	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gothamist	1	0	4	2	1	0	0	0	1	0	0	2	0	1	2	0	2	0	0	0	0	0	0	0	5	0	1	1	0	1	4	0	16	1	0	6	3	0	0	1	0	1	0	3	1	0	0	1	0	1	3	0	0	0	0	0	1	2	0	1	7	1	0	2	1	1	3	0	1	5	1	1	2	0	0	1	0	2	0	3	0	18	1	0	6	1	0	3	1	0	0	0	0	2	1	0	0	1	0	6	1	2	0	1	0	0	4	0	1	1	3	0	0	6	0	0	2	0	0	1	0	0	14	0	4	4	0	2	0	7	4	1	1	1	0	0	0	1	2	0	3	0	3	1	1	0	3	0	1	0	0	0	0	0	1	1	0	1	0	1	0	2	1	0	2	0	0	0	0	1	2	0	2	6	0	0	1	4	1	0	0	1	1	0	2	0	0	0	0	0	4	1	1	0	2	1	0	2	0	2	0	1	0	0	0	5	0	1	7	0	7	1	1	0	0	0	0	5	0	2	3	1	0	0	0	0	2	3	0	3	0	1	6	1	1	2	4	3	1	1	1	0	0	0	5	0	2	1	1	0	0	0	1	1	1	1	0	1	0	0	0	3	2	3	0	2	0	2	7	1	1	0	1	2	1	1	0	3	4	0	0	1	3	1	2	1	0	1	0	2	1	0	1	0	1	0	1	5	4	0	0	0	4	1	0	0	3	2	4	3	1	0	0	0	1	3	0	0	2	3	0	2	0	0	0	3	1	0	0	0	1	1	0	0	0	0	1	0	5	0	0	1	0	2	3	0	4	2	4	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	1	6	0	0	2	0	0	1	2	3	3	2	4	6	2	3	0	1	3	7	1	0	3	0	1	0	1	0	1	1	0	1	0	2	3	0	0	2	0	0	1	0	0	4	0	0	0	2	5	3	0	0	0	0	0	4	0	1	2	1	1	0	0	0	0	0	0	0	0	4	1	0	0	3	0	0	0	0	3	0	0	4	2	4	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	6	3	1	2	2	5	3	0	0	2	0	1	0	3	2	3	0	1	0	2	1	2	2	4	0	11	0	0	0	0	1	5	1	1	1	5	0	0	0	0	6	0	5	13	0	0	0	0	3	3	0	0	0	1	0	1	1	0	0	4	3	1	3	0	0	9	4	0	5	4	1	5	0	0	0	2	2	2	0	0	2	0	0	0	0	1	0	0	14	1	2	3	0	0	1	1	0	0	3	0	2	0	0	2	0	1	0	1	0	0	4	2	1	1	1	2	2	11	2	0	7	8	2	1	1	1	0	0	0	13	0	0	0	0	0	2	0	3	0	0	0	1	0
BuzzMachine	0	0	5	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0	1	2	0	1	1	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	7	0	1	0	0	0	0	0	0	1	0	0	0	1	0	5	0	0	1	0	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	1	0	1	0	6	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	4	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	0	0	1	0	1	2	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	1	1	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	3	0	2	0	0	1	0	0	1	0	1	0	0	0	0	12	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	3	3	0	1	0	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	2	2	0	0	5	2	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	3	4	0	2	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	1	1	0	0	2	0	0	1	0	2	0	1	3	0	0	3	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	9	0	0	2	0	0	0	1	0	1	1	1	0	1	1	1	0	1	0	0	5	0	3	0	1	0	0	0	4	2	0	1	0	0	0	0	0	0	0	1	7	0	0	2	0	0	0	0	0	0	2	0	1	1	0	2	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	2	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
Techdirt.	1	4	20	2	2	1	3	6	9	2	2	36	2	1	21	2	17	0	0	11	8	1	7	6	1	8	19	1	4	13	43	3	72	6	9	4	31	3	2	0	3	19	9	3	4	1	2	0	3	4	34	16	9	24	15	7	7	33	0	5	20	6	3	8	8	11	5	4	17	10	20	0	4	8	21	6	1	5	6	2	4	20	4	1	62	4	1	2	34	7	2	7	5	3	4	4	9	2	3	58	6	7	20	4	0	3	27	0	1	5	24	0	4	11	5	5	2	0	2	1	3	4	85	10	4	28	0	2	3	40	12	13	8	6	3	3	5	9	8	1	3	8	5	5	2	4	19	15	4	7	0	3	14	6	19	2	3	7	30	0	17	12	6	1	1	10	11	7	2	6	3	4	19	25	4	20	26	62	2	1	15	25	5	11	53	0	0	2	5	2	0	3	27	5	2	17	6	4	6	8	1	10	1	9	3	21	7	0	28	5	10	1	3	2	2	5	0	26	3	3	23	4	10	4	0	36	7	10	4	0	17	5	15	11	9	3	7	6	10	0	0	5	2	8	3	5	10	6	28	0	5	8	15	12	10	0	2	5	7	19	1	1	1	21	18	1	3	0	42	4	0	2	6	11	1	10	3	7	3	0	2	6	9	9	12	4	2	4	1	26	37	3	2	10	7	2	7	16	19	4	30	3	2	16	7	9	9	6	58	0	2	1	26	5	4	29	0	7	7	17	0	0	3	0	0	0	15	2	9	5	10	2	9	8	9	1	3	1	13	4	3	15	2	17	19	0	3	5	49	15	4	45	1	5	8	0	6	0	19	0	5	6	15	4	0	11	27	0	2	0	2	8	4	1	5	15	12	23	5	5	5	2	27	5	7	6	3	6	21	1	1	5	1	15	3	14	14	1	10	2	10	1	4	1	8	5	8	1	6	47	3	8	16	6	3	8	1	16	23	3	4	2	13	7	10	1	3	18	15	6	13	0	8	5	6	12	3	3	14	6	9	11	20	3	14	8	2	0	4	3	7	6	6	1	1	4	6	7	4	2	2	3	1	2	14	7	3	0	1	32	2	3	6	13	36	1	4	5	5	8	1	0	3	8	14	3	5	9	1	8	3	9	2	39	3	0	9	1	37	2	4	3	0	45	2	2	5	0	4	3	7	14	2	2	4	7	6	10	28	2	7	3	6	4	3	0	7	5	8	9	42	14	1	92	46	4	0	53	1	0	9	17	4	1	2	3	11	1	5	1	2	32	3	12	5	16	45	9	8	0	9	1	4	3	7	1	10	3	6	2	2	7	4	21	4	10	0	3	18	14	0	5	1	2	15	48	6	2	41	28	16	1	2	2	2	3	4	37	4	0	3	14	31	33	4	17	3	7	8	2	3
PerezHilton	0	0	2	0	0	4	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	2	1	0	0	1	0	0	0	1	0	0	0	1	2	4	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	12	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	2	1	1	0	0	1	0	3	0	0	0	0	3	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	4	0	2	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0	1	4	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	2	0	1	4	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	2	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	4	0	4	0	0	0	1	1	7	0	1	0	1	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	0	0	2	0	2	4	0	0	0	0	0	1	0	0	1	0	0	6	0	2	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	6	1	3	0	0	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
Joho the Blog	0	2	2	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	10	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	2	0	0	1	1	2	1	0	1	0	0	4	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	2	0	0	2	2	0	0	2	0	0	0	0	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	10	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3	0	0	3	0	3	0	0	0	0	3	0	4	0	1	3	0	0	0
